start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
101,665.6056325991901,26.73071281323269,636.6027217925878,1000,0,0.3,0.9,8.0,0.23813347988773442,824.4640000730712,431.4178672197866,393.04613285328463,393.04613285328463,0.655076888088808,8.416175842285156e-05,2.384185791015625e-07,0.07238602638244629,7.414817810058594e-05,0.003757476806640625,0
102,656.9047593572094,20.944905089482734,431.4178672197866,1000,0,0.1,0.6,8.0,0.9499829848463998,1675.4831404634785,611.9768899476637,1063.5062505158148,1063.5062505158148,1.7725104175263589,8.320808410644531e-05,4.76837158203125e-07,0.07264590263366699,7.367134094238281e-05,0.0037212371826171875,0
103,634.3560701434672,130.14088379000142,611.9768899476637,1000,0,0.2,0.3,8.0,0.9200011532904989,1401.6372093042573,376.09745310384636,1025.539756200411,1025.539756200411,1.7092329270006843,8.344650268554688e-05,4.76837158203125e-07,0.07263517379760742,7.390975952148438e-05,0.003693819046020508,0
104,629.8802341043065,96.46962189999384,376.09745310384636,1000,0,0.2,0.1,8.0,0.9249047739496312,1436.1259354244648,404.85873967715634,1031.2671957473085,1031.2671957473085,1.718778659578848,9.870529174804688e-05,1.1920928955078125e-06,0.07377409934997559,7.43865966796875e-05,0.0038442611694335938,0
105,579.1236779042146,107.12528219003127,404.85873967715634,1000,0,0.3,0.2,8.0,0.9179598285981618,1407.6227332666024,384.4241852307855,1023.1985480358169,1023.1985480358169,1.7053309133930288,9.512901306152344e-05,4.76837158203125e-07,0.07288932800292969,7.534027099609375e-05,0.00368499755859375,0
106,526.844196436097,110.09731710381317,384.4241852307855,1000,0,0.3,0.1,8.0,0.7956338230687277,1356.5740824969328,448.95251697985907,907.6215655170737,907.6215655170737,1.512702609195122,9.34600830078125e-05,2.384185791015625e-07,0.07255077362060547,7.486343383789062e-05,0.003674030303955078,0
107,484.11819307450355,109.05698617780365,448.95251697985907,1000,0,0.4,0.2,8.0,0.5171272399701204,1201.775683225448,516.1864502370585,685.5892329883894,685.5892329883894,1.1426487216473156,8.440017700195312e-05,2.384185791015625e-07,0.07312583923339844,7.462501525878906e-05,0.0037145614624023438,0
108,470.05192263664577,91.46547007360027,516.1864502370585,1000,0,0.2,0.1,7.0,0.5160250846542488,1081.3466250766412,396.67798114758676,684.6686439290545,684.6686439290545,1.1411144065484233,8.296966552734375e-05,2.384185791015625e-07,0.0729217529296875,7.295608520507812e-05,0.0037102699279785156,0
109,479.27882815672837,86.00968527427325,396.67798114758676,1000,0,0.2,0.5,8.0,0.6413807069170118,1071.1201102812463,285.9298684504947,785.1902418307516,785.1902418307516,1.308650403051253,8.392333984375e-05,2.384185791015625e-07,0.07340216636657715,7.367134094238281e-05,0.0037429332733154297,0
110,462.75865875490007,76.04518144079327,285.9298684504947,1000,0,0.3,0.1,8.0,0.43772301732710145,1056.2594506077571,439.8286255126749,616.4308250950822,616.4308250950822,1.0273847084918035,8.225440979003906e-05,4.76837158203125e-07,0.0744173526763916,7.462501525878906e-05,0.0039746761322021484,0
